"","Sample","Alteromonadales","Bacteroidia","Bdellovibrionota","Chloroflexi","Desulfobacterota","Gammaproteobacteria","Myxococcota","Nitrososphaeria","Opitutales","Planctomycetales","Polaribacter","Rhodobacteraceae","SAR11_clade","SAR202_clade","Verrucomicrobiae"
"1","EG1 EPI",3.18545104289695,28.9614603997294,0.144480500865736,0.232774140283686,0.185760643970232,28.7516196722815,0.00458668256716623,4.30918827185268,2.3357680973294,1.45971172700065,12.1558554736323,3.59710580330012,9.08621816555631,0.152507195358277,5.46732562006215
"2","EG1 MESO",9.57349741478137,4.30947757527548,0.231616872938259,7.41875862714363,0.379009428444424,16.8004117633297,0.320520319116581,8.89034461783216,0.182486021102871,4.33755234775285,0.601268043890228,0.107619961163231,5.15172074959643,6.41508551107784,2.82619376272138
"3","EG1 SRF",2.08565612757383,50.7410779129118,0.00204576373474627,0.00716017307161196,0.0327322197559404,21.3148123523214,0,0.729314771437047,0.217873837750478,0.486891768869613,28.1896013829363,6.86865173941062,12.8259157349918,0,1.01572169430153
"4","EG4 BATHY",2.83775064522533,6.3840083382966,0.985209450069486,2.9494242604725,0.926891006551519,18.4000893388922,0.449176096883065,9.1870160810006,0.717192773476276,1.50759380583681,0.687413142743697,0.0570776255707763,6.2897061743101,2.76206075044669,7.60497319833234
"5","EG4 EPI",0.718051822825842,29.1005888024947,0.108733561742199,0.962189442586628,0.0400057444145826,27.0202900929364,0.00923209486490368,5.0991937303818,4.43448290010873,0.99809203372792,9.6998543380588,3.34099255277681,8.29247276532015,0.709845516279261,6.02240321687217
"6","EG4 MESO",1.81208993654453,8.83959448831622,0.293037135992933,2.61147800605466,0.149750595231682,19.6087092360565,0.20254037340688,11.293780502257,0.939442583036166,1.61170424796113,1.99631548895185,0.475108003576777,9.1089300912509,2.19777851994699,4.90298531582293
"7","EG4 SRF",0.630756699179181,59.6138181666284,0.0731009419578521,0.0104429917082646,0.0553478560538023,14.9199022535976,0,0.811420455732158,9.2556235510349,0.158733473965622,36.2350926293364,2.09799703419035,5.43348858581006,0.00417719668330583,11.1426721527183
"8","HG1 BATHY",2.74435542607429,9.53241077931537,0.866229667394999,4.18353969410051,0.549647972808934,24.331148336975,0.267055110463705,12.9458606457878,1.47220199077446,0.95460063122117,1.22554017965526,0.0747754309298373,5.69555717407138,4.02913328477786,4.96431172614712
"9","HG1 EPI",0.788869977059128,21.4415747798416,0.625323762302967,0.246429364315844,0.0384814622955672,30.377414341745,0.0947235994967809,4.40612743284245,1.71686524087915,0.671945533930289,1.62658181010878,2.0550580922075,13.7164212240065,0.182786945903944,5.16983645378524
"10","HG1 MESO",4.90917440010252,14.7488813660683,0.457064747279504,2.71889450134023,0.226396557063679,27.4420392776668,0.212513749319208,6.98732392862101,0.767826059098045,2.54162172552621,1.77593148300424,1.22382289808951,6.08921305838255,2.24794694631625,5.23168270308946
"11","HG1 SRF",0.485350977509122,29.391303163971,0.0353972662418995,0,0,14.7436421064096,0,0.0585416326308337,9.68523661711049,0.0176986331209497,1.99722267603333,13.0459347601155,24.1838207264608,0,11.0453085007896
"12","HG2 BATHY",5.6664551710674,13.4259033302422,0.981014202742935,2.17921811703841,0.61415068248003,20.8860038719964,0.310735841996518,18.2821676672035,2.86576537003595,1.08025444547481,2.45090861763223,0.0732100151300698,3.96879626466234,2.01164852685181,6.31314363804969
"13","HG2 EPI",0.466652054329612,34.4604865908239,0.173226898955689,0.0342918555075548,0.0194438355970672,24.420043412782,0.0081310585224099,2.67229005960419,18.8997617246329,0.363069439239781,12.923080186378,1.09132946342084,8.45983610614213,0.018383262746318,19.7810977636054
"14","HG2 MESO",4.53542642676956,2.6641235464222,0.235560907436869,3.44551775056913,0.101959198741331,18.045020259996,0.174912763357973,29.6595793304093,0.167002135869422,0.698772094822055,0.24347153492542,0.0922906540331016,5.34934209948054,3.18270912622725,2.08488982253826
"15","HG2 SRF",0.553297526060487,41.5129247295664,0.0248608083809832,0.00115631666888294,0.00231263333776588,23.4171470198829,0,0.132398258587097,17.6442360504848,0.00520342500997323,17.1707243745772,3.0434254724999,11.0937021212629,0,17.789931950764
"16","HG4 BATHY",1.13108317423724,10.5351632385961,0.966583816625242,3.97079836221078,0.920956257579578,18.7853463491949,0.462279216646855,7.24757753683225,0.724037318540398,2.07005031038747,1.21873611661444,0.156094280945691,4.3142057802913,3.65740907508135,5.46810273405137
"17","HG4 EPI",0.337320671390059,27.7009360987306,0.0867008954576859,0.30751723857648,0.0528333581695273,28.3728680385277,0.0243846268474742,4.57753633986751,5.68297275695301,0.759987536746278,10.3675305146511,3.65092051966349,11.726296110652,0.20726932820353,6.56081932346208
"18","HG4 SRF",0.282810066398885,54.9942618247397,0.00512337076809575,0,0.00512337076809575,24.1433724075744,0,0.236699729486023,6.76592343634724,0.0102467415361915,26.1855479957374,3.44495450446758,7.5877121075498,0,6.85609476186573
"19","HG9 BATHY",22.9571772646246,6.76155615126073,0.45312903972023,2.96234810651934,0.395977629305066,36.7537998884187,0.205472927921185,7.32082352460912,1.28998897794228,1.48457592292724,1.75400400059873,0.0285757052075821,5.50694661786118,2.78272938807168,4.28499503327029
"20","HG9 EPI",0.36576897426554,29.6953529464341,0.191134915123722,0.0426272112865855,0.0130631776523407,23.5212826665383,0.00756289232503936,1.60745838690382,18.4438317737733,0.16225841715539,10.0407708649886,2.65801288441838,11.3876532345115,0.0220011413092054,19.9254711338151
