"","sample_ID","StationID","StationName","Depth","Latitude..degrees_north.","Longitude..degrees_east.","Bot_Depth..m.","Depth.m.","Temperature","Salinity","Water_mass","Chla_fluor","NO3.NO2","SD","d(NO3.NO2)","NO2","SD.1","d(NO3)","d(NO2)","NO3","SiO3","SD.2","d(SiO3)","PO4","SD.3","d(PO4)","NH4","SD.4","d(NH4)"
"30","42","PS99/064-2","SV2","EPI","78.981","9.514","230","100","2.829","34.9819","AW","14","9.05","0.16","","0.38","0","","","8.67","2.87","2.2","","0.88","0","","1.68","0.01",""
"31","32","PS99/056-1","HG2","BATHY","79.134","4.907","1544","1492","-0.8139","34.9096","EBDW","NA","14.92","0.03","","0","0","","","14.95","12.35","0.02","","1.74","0.07","","0","0",""
"32","28","PS99/056-1","HG2","DCM","79.134","4.907","1544","22","2.2989","34.8952","AW","2.233","6.24","0.01","5.431666667","0.09","0","5.296666667","0.135","6.15","2.74","0.02","1.356666667","0.87","0","0.531666667","0.94","0","0"
"33","29","PS99/056-1","HG2","EPI","79.134","4.907","1544","100","3.599","35.0439","AW","73","11.04","0","","0.2","0.01","","","10.84","3.88","0.11","","1.27","0.01","","0","0.01",""
"34","33","PS99/056-1","HG2","MESO","79.134","4.907","1544","1000","-0.5765","34.9093","EBDW","NA","14.12","0.17","","0","0","","","14.15","9.33","0.06","","1.66","0.01","","0","0.01",""
"35","7","PS99/044-1","HG5","DCM","79.066","3.66","3116","25","1.7348","32.3625","PSWw","4.241","5.19","0.05","7.145","0.09","0","7.081666667","0.063333333","5.1","3.19","0.01","1.963333333","0.5","0","0.356666667","0.5","0.02","0"
"36","5","PS99/044-1","HG5","EPI","79.066","3.66","3116","100","3.9421","35.089","AW","64","11.35","0.05","","0.09","0","","","11.26","4.75","0.03","","0.75","0","","0","0.01",""
"37","6","PS99/044-1","HG5","MESO","79.066","3.66","3116","2600","-0.7332","34.9243","EBDW","NA","NA","NA","","NA","NA","","","NA","NA","NA","","NA","NA","","NA","NA",""
"38","8","PS99/044-1","HG5","BATHY","79.066","3.66","3116","3038","-0.7004","34.9247","EBDW","NA","NA","NA","","NA","NA","","","NA","NA","NA","","NA","NA","","NA","NA",""
"39","37","PS99/054-1","N3","DCM","79.583","5.166","2778","34","3.2782","34.4029","PSWw","952","8.26","0.11","5.315","0.17","0","5.233333333","0.081666667","8.09","3.19","0.05","1.018333333","0.7","0","0.295","1.29","0","0"
"40","38","PS99/054-1","N3","EPI","79.583","5.166","2778","100","4.2459","35.0988","AW","59","10.3","0.07","","0.19","0","","","10.11","3.29","0.04","","0.76","0","","0.47","0.01",""
"41","39","PS99/054-1","N3","MESO","79.583","5.166","2778","1000","-0.3268","34.909","EBDW","NA","13.49","0.03","","0","0","","","13.51","7.25","0","","1.03","0","","0","0",""
"42","40","PS99/054-1","N3","BATHY","79.583","5.166","2778","2500","-0.7217","34.9237","EBDW","NA","NA","NA","","NA","NA","","","NA","NA","NA","","NA","NA","","NA","NA",""
"43","9","PS99/046-1","HG7","DCM","79.05","3.53","3813","35","3.728","33.9573","PSWw","4.455","5.36","0.02","2.596666667","0.12","0","2.613333333","-0.016666667","5.24","2.84","0.2","1.675","0.51","0","0.091666667","0.48","0","0"
"44","10","PS99/046-1","HG7","EPI","79.05","3.53","3813","100","3.3837","35.0159","AW","67","10.53","0.05","","0.18","0.02","","","10.35","4.21","0.02","","0.73","0","","0.09","0",""
"45","11","PS99/046-1","HG7","MESO","79.05","3.53","3813","1005","-0.2752","34.9084","EBDW","NA","NA","NA","","NA","NA","","","NA","NA","NA","","NA","NA","","NA","NA",""
"46","12","PS99/046-1","HG7","BATHY","79.05","3.53","3813","3772","-0.6295","34.9243","EBDW","NA","NA","NA","","NA","NA","","","NA","NA","NA","","NA","NA","","NA","NA",""
