"","StationName","Depth","Domain","SMP_No","FOV_No","DAPI_Nr_Set","DAPI_Nr_SubSet","Volume","conc.DAPI","conc.FISH"
"73","EG1","EPI","CREN",2,46,55,1,30,182445.167375498,3317.18486137269
"74","EG1","EPI","CREN",2,50,66,3,30,218934.200850598,9951.55458411807
"75","EG1","EPI","CREN",2,52,78,3,30,258740.41918707,9951.55458411807
"76","EG1","EPI","CREN",2,53,48,0,30,159224.873345889,0
"77","EG1","EPI","CREN",2,54,36,1,30,119418.655009417,3317.18486137269
"78","EG1","MESO","CREN",31,1,26,0,100,25874.041918707,0
"79","EG1","MESO","CREN",31,2,42,0,100,41796.5292532959,0
"80","EG1","MESO","CREN",31,3,52,1,100,51748.083837414,995.155458411807
"81","EG1","MESO","CREN",31,4,51,0,100,50752.9283790022,0
"82","EG1","MESO","CREN",31,6,44,0,100,43786.8401701195,0
"83","EG1","MESO","CREN",31,7,43,0,100,42791.6847117077,0
"84","EG1","MESO","CREN",31,10,31,0,100,30849.819210766,0
"85","EG1","MESO","CREN",31,12,50,0,100,49757.7729205904,0
"86","EG1","MESO","CREN",31,13,49,0,100,48762.6174621785,0
"87","EG1","MESO","CREN",31,14,37,0,100,36820.7519612369,0
"88","EG1","MESO","CREN",31,15,30,0,100,29854.6637523542,0
"89","EG1","MESO","CREN",31,16,33,1,100,32840.1301275896,995.155458411807
"90","EG1","MESO","CREN",31,17,37,0,100,36820.7519612369,0
"91","EG1","MESO","CREN",31,18,26,0,100,25874.041918707,0
"92","EG1","MESO","CREN",31,19,44,0,100,43786.8401701195,0
"93","EG1","MESO","CREN",31,20,48,1,100,47767.4620037667,995.155458411807
"94","EG1","MESO","CREN",31,21,58,1,100,57719.0165878848,995.155458411807
"95","EG1","MESO","CREN",31,22,60,1,100,59709.3275047084,995.155458411807
"96","EG1","MESO","CREN",31,23,40,0,100,39806.2183364723,0
"97","EG1","MESO","CREN",31,24,29,0,100,28859.5082939424,0
"98","EG1","MESO","CREN",31,25,56,1,100,55728.7056710612,995.155458411807
"99","EG1","MESO","CREN",31,26,30,1,100,29854.6637523542,995.155458411807
"100","EG1","MESO","CREN",31,27,52,0,100,51748.083837414,0
"101","EG1","MESO","CREN",31,28,46,0,100,45777.1510869431,0
"102","EG1","MESO","CREN",31,29,46,0,100,45777.1510869431,0
"103","EG1","MESO","CREN",31,30,42,0,100,41796.5292532959,0
"104","EG1","MESO","CREN",31,31,46,0,100,45777.1510869431,0
"105","EG1","MESO","CREN",31,33,42,1,100,41796.5292532959,995.155458411807
"106","EG1","MESO","CREN",31,34,45,0,100,44781.9956285313,0
"107","EG1","MESO","CREN",31,35,61,0,100,60704.4829631202,0
"108","EG1","MESO","CREN",31,37,44,0,100,43786.8401701195,0
"109","EG1","MESO","CREN",31,38,36,0,100,35825.5965028251,0
"110","EG1","MESO","CREN",31,39,48,0,100,47767.4620037667,0
"111","EG1","MESO","CREN",31,41,55,0,100,54733.5502126494,0
"112","EG1","MESO","CREN",31,42,31,0,100,30849.819210766,0
"113","EG1","MESO","CREN",31,43,43,0,100,42791.6847117077,0
"114","EG1","MESO","CREN",31,44,39,0,100,38811.0628780605,0
"115","EG1","MESO","CREN",31,45,49,0,100,48762.6174621785,0
"116","EG1","MESO","CREN",31,46,51,0,100,50752.9283790022,0
"117","EG1","MESO","CREN",31,47,39,0,100,38811.0628780605,0
"118","EG1","MESO","CREN",31,48,55,0,100,54733.5502126494,0
"119","EG1","MESO","CREN",31,49,47,0,100,46772.3065453549,0
"120","EG1","MESO","CREN",31,50,38,0,100,37815.9074196487,0
"121","EG1","MESO","CREN",31,52,44,0,100,43786.8401701195,0
"122","EG1","MESO","CREN",31,55,47,0,100,46772.3065453549,0
"123","EG4","DCM","CREN",10,4,77,1,30,255423.234325697,3317.18486137269
"124","EG4","DCM","CREN",10,5,101,1,30,335035.670998642,3317.18486137269
"125","EG4","DCM","CREN",10,7,78,5,30,258740.41918707,16585.9243068634
"126","EG4","DCM","CREN",10,8,132,10,30,437868.401701195,33171.8486137269
"127","EG4","DCM","CREN",10,9,73,6,30,242154.494880206,19903.1091682361
"128","EG4","DCM","CREN",10,11,73,2,30,242154.494880206,6634.36972274538
"129","EG4","DCM","CREN",10,14,114,4,30,378159.074196487,13268.7394454908
"130","EG4","DCM","CREN",10,15,123,11,30,408013.737948841,36489.0334750996
"131","EG4","DCM","CREN",10,20,111,2,30,368207.519612369,6634.36972274538
"132","EG4","DCM","CREN",10,21,65,0,30,215617.015989225,0
"133","EG4","DCM","CREN",10,23,76,2,30,252106.049464324,6634.36972274538
"134","EG4","DCM","CREN",10,24,85,3,30,281960.713216679,9951.55458411807
"135","EG4","DCM","CREN",10,25,150,6,30,497577.729205904,19903.1091682361
"136","EG4","DCM","CREN",10,27,68,1,30,225568.570573343,3317.18486137269
"137","EG4","DCM","CREN",10,31,116,4,30,384793.443919232,13268.7394454908
"138","EG4","DCM","CREN",10,32,112,5,30,371524.704473741,16585.9243068634
"139","EG4","DCM","CREN",10,35,71,3,30,235520.125157461,9951.55458411807
"140","EG4","DCM","CREN",10,36,99,5,30,328401.301275896,16585.9243068634
"141","EG4","DCM","CREN",10,41,98,3,30,325084.116414524,9951.55458411807
"142","EG4","DCM","CREN",10,55,89,5,30,295229.452662169,16585.9243068634
"143","EG4","EPI","CREN",32,1,90,2,30,298546.637523542,6634.36972274538
"144","EG4","EPI","CREN",32,2,78,6,30,258740.41918707,19903.1091682361
"145","EG4","EPI","CREN",32,3,83,5,30,275326.343493933,16585.9243068634
"146","EG4","EPI","CREN",32,4,68,7,30,225568.570573343,23220.2940296088
"147","EG4","EPI","CREN",32,5,85,4,30,281960.713216679,13268.7394454908
"148","EG4","EPI","CREN",32,6,66,1,30,218934.200850598,3317.18486137269
"149","EG4","EPI","CREN",32,7,66,1,30,218934.200850598,3317.18486137269
"150","EG4","EPI","CREN",32,9,68,2,30,225568.570573343,6634.36972274538
"151","EG4","EPI","CREN",32,10,110,5,30,364890.334750996,16585.9243068634
"152","EG4","EPI","CREN",32,11,73,5,30,242154.494880206,16585.9243068634
"153","EG4","EPI","CREN",32,12,51,3,30,169176.427930007,9951.55458411807
"154","EG4","EPI","CREN",32,13,71,2,30,235520.125157461,6634.36972274538
"155","EG4","EPI","CREN",32,14,100,5,30,331718.486137269,16585.9243068634
"156","EG4","EPI","CREN",32,15,65,4,30,215617.015989225,13268.7394454908
"157","EG4","EPI","CREN",32,16,81,1,30,268691.973771188,3317.18486137269
"158","EG4","EPI","CREN",32,18,54,2,30,179127.982514125,6634.36972274538
"159","EG4","EPI","CREN",32,19,67,3,30,222251.38571197,9951.55458411807
"160","EG4","EPI","CREN",32,20,76,5,30,252106.049464324,16585.9243068634
"161","EG4","EPI","CREN",32,21,74,3,30,245471.679741579,9951.55458411807
"162","EG4","EPI","CREN",32,22,60,1,30,199031.091682361,3317.18486137269
"163","EG4","EPI","CREN",32,23,60,2,30,199031.091682361,6634.36972274538
"164","EG4","EPI","CREN",32,24,47,0,30,155907.688484516,0
"165","EG4","EPI","CREN",32,25,86,4,30,285277.898078051,13268.7394454908
"166","EG4","EPI","CREN",32,26,84,7,30,278643.528355306,23220.2940296088
"167","EG4","EPI","CREN",32,27,75,2,30,248788.864602952,6634.36972274538
